Case Name (EN),Case Name (TH),Keywords,Instructions,facility_type,severity
Heat Stroke,โรคลมแดด,"ตัวร้อนจัด, ไม่มีเหงื่อ, เพ้อ, ชัก, แดดร้อน, heat stroke","1. พาเข้าที่ร่มหรือห้องแอร์ ทันที
2. ถอดเสื้อผ้าชั้นนอก และช่วยระบายอากาศ
3. ใช้น้ำเย็นเช็ดตัว หรือพัดลมช่วยลดอุณหภูมิ
4. ดื่มน้ำเปล่า หลีกเลี่ยงน้ำหวานหรือเครื่องดื่มที่มีแอลกอฮอล์
5. หากเจอผู้ป่วยที่หมดสติและไม่หายใจ โทร. 1669 หน่วยบริการการแพทย์ฉุกเฉิน เพื่อเข้ารักษาผู้ป่วยอย่างรวดเร็ว และทำการ CPR ผู้ป่วย ณ บริเวณนั้น",Hospital,critical
Heat Exhaustion,เพลียแดด,"หน้ามืด, เหงื่อออกเยอะ, ตัวเย็น, จะเป็นลม, ตากแดดนาน","1. รีบนำผู้ป่วยออกจากบริเวณที่อากาศร้อน  นำเข้าที่ร่ม หรือห้องแอร์  ถ้าไม่มีแอร์ ให้เปิดพัดลมและหน้าต่างให้อากาศถ่ายเท
2. ถ้าผู้ป่วยยังไม่หมดสติ  ให้ผู้ป่วยดื่มน้ำเย็น  แต่ไม่ต้องให้ยาลดไข้แอสไพรินหรือพาราเซตตามอล
3. พ่นละอองน้ำบนตัวผู้ป่วย และใช้พัดหรือพัดลมเป่า หรืออาจใช้ผ้าชุบน้ำเย็นเช็ดตัวผู้ป่วย
4. ถ้าผู้ป่วยชักเกร็ง ให้เอาสิ่งกีดขวางรอบตัวผู้ป่วยที่อาจทำให้ผู้ป่วยเกิดอันตรายได้ออก
5. ถ้าผู้ป่วยหมดสติและอาเจียน  ให้จับศีรษะผู้ป่วยหันไปด้านข้าง เพื่อลดโอกาสการสำลัก",none,no need
Hypothermia,ภาวะตัวเย็นเกิน,"ตัวเย็น, สั่น, ตกน้ำเย็น, หนาวสั่น, ปากซีด, ปากม่วง","1. ค่อยๆ พาผู้ป่วยออกจากที่เย็น หากไม่สามารถเข้าไปในอาคารได้ ให้ปกป้องผู้ป่วยจากลม โดยเฉพาะบริเวณคอและศีรษะ ป้องกันผู้ป่วยจากความเย็นของพื้น เช่น การวางผ้าห่มไว้ใต้ตัวผู้ป่วย
2. ถอดเสื้อผ้าที่เปียกออกอย่างเบามือ แล้วสวมเสื้อโค้ทหรือผ้าห่มที่อบอุ่นและแห้งแทน
3. หากต้องการเพิ่มความอบอุ่น ให้ทำอย่างค่อยเป็นค่อยไปและเน้นที่บริเวณกลางลำตัว ตัวอย่างเช่น ประคบอุ่นแห้งที่คอ หน้าอก และขาหนีบ ศูนย์ควบคุมและป้องกันโรค (CDC) ระบุว่าอีกทางเลือกหนึ่งคือการใช้ผ้าห่มไฟฟ้า หากมี หากใช้ถุงน้ำร้อนหรือแผ่นประคบร้อนแบบเคมี ให้ห่อด้วยผ้าขนหนูก่อนนำไปใช้
4. เสนอเครื่องดื่มอุ่นๆ หวานๆ ที่ไม่มีแอลกอฮอล์ให้แก่บุคคลนั้น
5. เริ่มทำการช่วยชีวิตด้วยการปั๊มหัวใจหากผู้ป่วยไม่มีสัญญาณชีพ เช่น หายใจ ไอ หรือขยับตัว",Clinic,mild
Electric Shock (Low),ไฟดูด (ไฟบ้าน),"ไฟดูด, สายไฟรั่ว, มือติดสายไฟ, ตัดไฟ, ปลั๊กดูด","1. ตัดวงจรไฟฟ้า
2. เคลื่อนย้ายผู้ป่วยจากบริเวณที่ถูกไฟดูด
3. ห่อหุ้มบริเวณที่ถูกไฟดูดด้วยผ้าแห้ง
4. หากมีสายไฟพาดตัวผู้ป่วยควรหาวัสดุที่ไม่นำกระแสไฟฟ้า เช่นไม้ เขี่ยสายไฟออก
5. ตรวจเช็กชีพจร หากชีพจรหยุดเต้นต้องทำการ CPR
6. ติดต่อสายด่วน 1669 เพื่อนำผู้ป่วย",Hospital,critical
Electric Shock (High),ไฟช็อต (แรงสูง),"สายไฟฟ้าแรงสูง, ระเบิด, ตัวไหม้, กระเด็น, ไฟช็อต","1. ผู้ที่จะเข้าช่วยเหลือต้องสำรวจตัวเองจนแน่ใจว่าปลอดภัย เช่น สวมใส่อุปกรณ์ป้องกันกระแสไฟฟ้าเรียบร้อยแล้ว
2. ตัดกระแสไฟฟ้าจากแหล่งกำเนิดเพื่อลดความรุนแรงกระแสไฟฟ้า และไม่ให้สัมผัสกระแสไฟฟ้านานเกินไป
3. หากเรียกผู้ถูกไฟฟ้าช็อตหรือบาดเจ็บจากไฟฟ้าไม่ตื่น หรือคลำชีพจรไม่ได้ ทำการกู้ชีพ ขั้นตอนนี้สำคัญที่สุดและช่วยชีวิตได้มากที่สุด
4. ปฐมพยาบาลจุดที่ไหม้ โดยใช้ผ้าสะอาดชุบน้ำแล้วพันไว้ และหากมีกระดูกหักข้อเคลื่อนให้ยึดตรึงข้อไว้ชั่วคราวด้วยเฝือกอ่อน
5. รีบนำผู้ถูกไฟฟ้าช็อตหรือบาดเจ็บจากไฟฟ้าส่งโรงพยาบาลให้เร็วที่สุด
6. ในกรณีบาดเจ็บเล็กน้อยและคลื่นไฟฟ้าหัวใจปรกติ สามารถติดตามอาการที่บ้านได้อย่างปลอดภัย",Hospital,critical
Lightning Strike,ฟ้าผ่า,"โดนฟ้าผ่า, หมดสติ, รอยไหม้, ฝนตกฟ้าผ่า","1. รีบโทรแจ้งสายด่วน 1669
2. สังเกตว่าบริเวณที่เกิดเหตุยังมีความเสี่ยงต่อการถูกฟ้าผ่าหรือไม่ ถ้ามี ต้องเคลื่อนย้ายคนถูกฟ้าผ่าไปยังพื้นที่ปลอดภัย เพื่อป้องกันทั้งผู้ป่วยและผู้ช่วยเหลือจากการถูกฟ้าผ่าซ้ำ
3. สามารถจับตัวผู้ถูกฟ้าผ่าได้ เนื่องจากคนที่ถูกฟ้าผ่าไม่มีกระแสไฟฟ้าหลงเหลืออยู่ในตัวต่างจากกรณีการถูกไฟฟ้าดูด
4. หากคนถูกฟ้าผ่า หมดสติ ไม่หายใจ ( ทรวงอกเคลื่อนไหวน้อยหรือไม่เคลื่อนไหว )
5. ให้ปฐมพยาบาลด้วยการCPR ทันทีระหว่างรอทีมช่วยเหลือทางการแพทย์",Hospital,critical
Smoke Inhalation,สำลักควันไฟ,"ไฟไหม้, หายใจไม่ออก, แสบจมูก, เสียงแหบ, หนีไฟ","1. นำผ้าชุบน้ำมาปิดบริเวณปากและจมูก เพื่อป้องกันควันไฟลอยเข้าระบบทางเดินหายใจ
2. พยายามนั่งหลังตรง เพื่อป้องกันการสำลักสารคัดหลั่งที่เกิดจากควันไฟ
3. หากหายใจติดขัด หายใจลำบาก หรือไอ-จามมาก ให้รีบขอความช่วยเหลือโดยด่วน หากสามารถปฐมพยาบาลอาการสำลักควันในผู้ประสบเหตุเพลิงไหม้ได้รวดเร็วและถูกต้อง ก็จะช่วยลดอาการรุนแรงในอนาคตได้
4, ไม่ควรใช้น้ำล้างจมูกผู้ป่วย เพราะแพทย์จะประเมินปริมาณเขม่าควันที่ร่างกายผู้ป่วยรับเข้าไปได้ยาก และอาจวินิจฉัยอาการไม่ทัน ที่สำคัญวิธีนี้ก็ไม่ได้ช่วยให้ความระคายเคืองหรือการผลิตสารคัดหลั่งของร่างกายลดน้อยลงเลย
5. ไม่ควรให้ผู้ป่วยดื่มน้ำเย็นเพื่อลดความร้อนในร่างกาย เพราะไม่ได้ช่วยเท่าไร และผู้ป่วยอาจสำลักน้ำได้
6. หากผู้ป่วยหมดสติ ให้รีบ CPR โดยด่วน หรือโทร. 1669",Hospital,critical
Heart Attack,หัวใจวาย/ขาดเลือด,"เจ็บหน้าอก, แน่นหน้าอก, ปวดร้าวลงแขน, เหงื่อแตก, จุกแน่นลิ้นปี่","1. หากพบว่ามีผู้ป่วยหัวใจวาย หรือมีอาการเข่าข่ายภาวะหัวใจวาย ให้ติดต่อขอความช่วยเหลือจากผู้ที่อยู่ในบริเวณนั้น หรือติดต่อ 1669 หรือโรงพยาบาล หรือทีมกู้ภัยใกล้เคียงทันที
2.ในกรณีที่ผู้ป่วยยังมีสติ ให้สังเกตอาการของผู้ป่วยว่าสามารถหายใจเองได้หรือไม่ ชีพจรเต้นแรงหรือเปล่า หากว่าผู้ป่วยยังหายใจได้ จัดท่าผู้ป่วยในท่านั่ง หรือนอนราบกับพื้นในท่าที่สบายที่สุด ปลดเสื้อผ้าให้คลายออกเพื่อให้หายใจได้สะดวก เพื่อรอรถพยาบาลมารับ
3. ในกรณีผู้ป่วยหมดสติ ให้ประเมินความปลอดภัยของสถานที่เกิดเหตุก่อนเป็นอันดับแรก โดยตรวจดูบริเวณรอบๆ ก่อนเข้าไปช่วยเหลือ พร้อมกับให้ตรวจการรู้สึกตัว การหายใจ และปลุกเรียกผู้ป่วยด้วยการตบไหล่ทั้งสองข้างและเรียกเสียงดังๆ หากไม่รู้สึกตัวและไม่หายใจ หรือหายใจผิดปกติที่เรียกว่า หายใจเฮือก ให้รีบขอความช่วยเหลือและทำการ CPR ทันที
4. จัดท่าผู้ป่วยให้นอนราบกับพื้นแข็ง โดยให้คุกเข่าบริเวณข้างลำตัวผู้ป่วยในระดับไหล่ จัดท่าผู้ป่วยนอนหงายเพื่อเปิดทางเดินหายใจโดยการ ดันหน้าผาก - ดึงคางขึ้น และตรวจสอบการหายใจโดยการเอียงหูฟังแนบที่จมูกผู้ป่วย จากนั้นให้เริ่มช่วยฟื้นคืนชีพ (CPR) ด้วยการกดหน้าอก โดยวางสันมือข้างที่ถนัดบริเวณกึ่งกลางกระดูกหน้าอกระดับเต้านม และวางมืออีกข้างทับประสานกันไว้ เริ่มการกดหน้าอกด้วยความลึกอย่างน้อย 5 เซนติเมตร โดยให้แขนเหยียดตรง ไม่งอแขน ในอัตราความเร็ว 100 - 120 ครั้งต่อนาที และทำไปเรื่อยๆ จนกว่าผู้ป่วยจะรู้ตัว หรือจนกว่าความช่วยเหลือจะมาถึง
5. หากมีเครื่องกระตุกหัวใจไฟฟ้าชนิดอัตโนมัติ (Automated External Defibrillators: AED) สามารถนำมาใช้ช่วยชีวิตผู้ป่วยได้",Hospital,critical
Stroke (Face/Arm/Speech),โรคหลอดเลือดสมอง,"ปากเบี้ยว, พูดไม่ชัด, แขนขาอ่อนแรง, หน้าชา, stroke, อัมพาต","1. ระบุช่วงเวลาที่เริ่มมีอาการหรือสัญญาณต่างๆ หรือช่วงเวลาสุดท้ายที่ทราบว่าบุคคลนั้นมีสุขภาพดี
2. หากผู้ป่วยมีปฏิกิริยาตอบสนองแต่ยังไม่ตื่นเต็มที่ น้ำลายไหล หรือกลืนลำบาก ให้จัดให้อยู่ในท่าพักฟื้น
3. ตรวจสอบอย่างต่อเนื่องตามความเหมาะสมเพื่อพิจารณาว่าจำเป็นต้องดูแลเพิ่มเติมหรือไม่
4, ระวังอย่าให้พวกเขาหนาวหรือร้อนเกินไป
4. ให้การดูแลรักษาอาการช็อกหากจำเป็น
5. อยู่กับคนคนนั้นต่อไป
6. สังเกตการเปลี่ยนแปลงของอาการ รวมถึงการหายใจและการตอบสนอง และให้การดูแลตามความเหมาะสมและตามความรู้ความชำนาญ",Hospital,critical
Seizure (General),ชักเกร็ง,"ชักกระตุก, ตาลอย, น้ำลายฟูมปาก, เกร็ง, กัดลิ้น, ลมบ้าหมู","1. ห้ามนำสิ่งของใดๆ ก็ตามยัดปากผู้ป่วยพยายามจับผู้ป่วยนอนตะแคง เพื่อป้องกันไม่ให้น้ำลายอุดกั้นทางเดินหายใจ
2. พยายามหาหมอนหรือสิ่งของนุ่มๆ วางรองศีรษะผู้ป่วย เพื่อป้องกันศีรษะกระแทก
3. จับเวลา ถ้าชักนานเกิน 3 นาที ผู้ป่วยจะมีภาวะเสี่ยงต่อการชักต่อเนื่อง ควรรีบเรียกรถพยาบาลทันที
4. ถ้าผู้ป่วยใส่เสื้อผ้ารัด หรือสวมเนกไท ควรปลดให้หลวมเพื่อให้ผู้ป่วยหายใจได้สะดวก
5. ถ้าขณะชักผู้ป่วยใส่แว่นควรถอดออก เพื่อป้องกันแว่นแตก อาจทำให้ผู้ป่วยบาดเจ็บ",Hospital,critical
Seizure (Febrile Child),ไข้สูงชัก (เด็ก),"ตัวร้อนจัด, เด็กชัก, ตาเหลือก, เช็ดตัว","1. จับให้นอนตะแคง ไม่หนุนหมอน หันศีรษะไปด้านใดด้านหนึ่งเพื่อป้องกันการสำลัก
2. คลายเสื้อผ้าให้หลวม
3. ห้ามใช้ช้อนหรือวัตถุอื่นๆ หรือนิ้วมืองัดปาก และห้ามป้อนยาหรือน้ำทางปากในขณะที่เด็กไม่รู้สึกตัว
4. เช็ดตัวด้วยน้ำจากก๊อกประปาหรือน้ำอุ่น ไม่ควรเช็ดตัวด้วยน้ำเย็นหรือแอลกอฮอล์
5. นำเด็กส่งโรงพยาบาลหรือรีบไปพบแพทย์ เพื่อให้แน่ใจว่าสาเหตุของการชักเกิดจากไข้สูง หรือจากสาเหตุอื่นๆ เช่น การติดเชื้อในสมอง ซึ่งต้องรักษาที่ต้นเหตุด้วย",Hospital,critical
Asthma Attack,หอบหืดกำเริบ,"หายใจไม่ออก, หายใจเสียงวี้ด, พ่นยา, แน่นหน้าอก, หอบ","1. ช่วยผู้ป่วยใช้เครื่องพ่นยา (Inhaler) ตั้งสติ ไม่ตื่นเต้นและให้ความอบอุ่นใจกับผู้ป่วยช่วยผู้ป่วยหาเครื่องพ่นยา (ปกติจะเป็นสีฟ้า) และให้หายใจจากเครื่องพ่นยา                                                                                         2. บอกให้ผู้ป่วยหายใจช้าลง  ช่วยให้ผู้ป่วยอยู่ในท่าที่ผ่อนคลาย บอกให้ผู้ป่วยหายใจลึกๆ และช้าๆ ถ้าอาการเล็กน้อยจะหายไปภายใน 2-3 นาที ถ้ายังไม่หายให้ผู้ป่วยหายใจจากเครื่องพ่นยา 1-2 ครั้งทุกๆ 2 นาที จนครบ 10 ครั้ง
3. โทรแจ้ง 1669 ถ้าใช้ยาแล้วไม่ได้ผล ผู้ป่วยหายใจไม่ออก จะทำให้พูดลำบาก และเริ่มมีอาการอ่อนเปลี้ย",Hospital,critical
Diabetic (Low Sugar),น้ำตาลในเลือดต่ำ,"เหงื่อออก, ใจสั่น, หิว, หน้ามืด, เป็นเบาหวาน, วูบ, กินหวาน","1) ให้ผู้ป่วยรับประทานอาหารที่มีคาร์โบไฮเดรต 15 กรัมซึ่งปริมาณอาหารที่มีคาร์โบไฮเดรต 15 กรัมได้แก่ 

ทอฟฟี่ 3 เม็ด
น้ำส้มคั้น 180 มิลลิลิตร
น้ำผึ้ง 3 ช้อนชา
ขนมปัง 1 แผ่น
ไอศกรีม 2 สกูป
กล้วย 1 ผล
***เลือกทานอย่างใดอย่างหนึ่ง อาการมักดีขึ้นภายใน 20 นาที หลังได้รับอาหารในปริมาณดังกล่าว

2) ติดตามระดับกลูโคสในเลือดโดยใช้กลูโคสมิเตอร์ทุก 20 นาทีหลังรับประทานอาหารที่มีคาร์โบไฮเดรตครั้งแรก

3) ให้ผู้ป่วยรับประทานอาหารที่มีคาร์โบไฮเดรต 15 กรัมซ้ำถ้าระดับกลูโคสในเลือดยังคงน้อยกว่าหรือเท่ากับ 70 มิลลิกรัม / เดซิลิตร

4) เมื่อผู้ป่วยอาการดีขึ้นและผลการตรวจวัดระดับกลูโคสในเลือดมากกว่าหรือเท่ากับ 80 มิลลิกรัมต่อเดซิลิตรให้รับประทานอาหารต่อเนื่องทันทีเมื่อถึงเวลาอาหารมื้อหลักหรือถ้าต้องรอเวลาอาหารมื้อหลักนานเกินกว่า 1 ชั่วโมงให้รับประทานอาหารว่างที่มีคาร์โบไฮเดรต 15 กรัมและโปรตีนเพื่อป้องกันการเกิดภาวะน้ำตาลในเลือดต่ำซ้ำ",Clinic,mild
Severe Allergy,แพ้รุนแรง (Anaphylaxis),"หน้าบวม, ตาบวม, หายใจไม่ออก, ผื่นขึ้นทั้งตัว, แพ้อาหาร, แพ้ยา","1. ผู้ป่วยทั่วไปนอนราบ - ห้ามยืนหรือเดิน หากหมดสติหรือตั้งครรภ์ ให้จัดท่าพักฟื้น - นอนตะแคงซ้ายหากตั้งครรภ์ หากหายใจลำบาก ให้พวกเขานั่งเหยียดขาออกไปข้างหน้า ควรอุ้มเด็กเล็กให้นอนราบ ไม่ใช่อุ้มในท่าตั้งตรง 2. ให้เครื่องกระตุ้นอะดรีนาลิน
3. โทรเรียกรถพยาบาล 4. โทรหาครอบครัว/ผู้ติดต่อฉุกเฉิน 5. อาจให้ยาอะดรีนาลินเพิ่มหากไม่มีการตอบสนองหลังจาก 5 นาที
6. นำตัวผู้ป่วยส่งโรงพยาบาลเพื่อสังเกตอาการอย่างน้อย 4 ชั่วโมง",Hospital,critical
Fainting,เป็นลม,"หน้ามืด, เวียนหัว, ยาดม, ล้มลงไป, พักผ่อนน้อย","1. คลายเสื้อผ้าที่คับ ให้หลวมออก
2. กันไม่ให้คนมามุงล้อมผู้ป่วย
3. ใช้พัดหรือสิ่งอื่นโบกลมให้ผู้ป่วย
4. อาจให้คนไข้สูดดมยา เช่น ยาหม่อง พิมเสน แอมโมเนียหอม หัวหอม หรืออื่น ๆ
5. อาจใช้ผ้าชุบน้ำเย็น (ในที่ที่อากาศร้อน) เช็ดหน้า คอ แขนขา และลำตัวของคนไข้ โดยทั่วไปคนไข้เป็นลมที่ได้รับการรักษาข้างต้น จะกลับฟื้นคืนสติในเวลาไม่กี่นาที
6. เมื่อคนไข้ฟื้นคืนสติแล้ว ควรให้นอนพักหรือนั่งพักอย่างน้อยสัก 1-2 ชั่วโมง เพราะถ้าให้คนไข้ลุกขึ้น หรือกลับไปทำงานทันที จะเกิดอาการหน้ามืดเป็นลมอีกได้
7. เมื่อคนไข้รู้สึกตัวดีแล้ว ต้องตรวจหาสาเหตุของอาการเป็นลม เพื่อให้การป้องกันและรักษาสาเหตุ คนไข้จะได้ไม่เกิดอาการเป็นลมขึ้นอีก หรือถ้าเกิดขึ้นอีกก็ไม่รุนแรง และไม่ทำให้เกิดอันตรายได้สำหรับคนไข้ที่มีอาการหน้ามืด ให้รักษาเช่นเดียวกับคนไข้ที่เป็นลม แต่อาจให้นั่งแทนนอน",Clinic,mild
Thermal Burn (Minor),น้ำร้อนลวก/ไฟไหม้เล็กน้อย,"แสบ, แดง, พุพอง, น้ำร้อนลวก, โดนเตารีด","1. ออกจากความร้อนให้เร็วที่สุด
2. ล้างด้วยน้ำก๊อกอุณหภูมิปกติเพื่อลดความร้อน เลี่ยงน้ำเย็นจัดและน้ำแข็ง
3. ปิดแผลด้วยผ้าสะอาด
4. นำส่งโรงพยาบาลทันที",Hospital,mild
Thermal Burn (Severe),ไฟไหม้รุนแรง,"ไหม้เกรียม, ผิวลอก, โดนไฟคลอก, แผลกว้าง, เสื้อผ้าติดผิว","1. ล้างทำความสะอาดแผลด้วยน้ำสะอาดอุณหภูมิปกติ หรือเปิดน้ำให้ไหลผ่าน หรือแช่อวัยวะส่วนที่เป็นแผลลงในน้ำสะอาดประมาณ 15-20 นาที หรือจนกว่าอาการปวดแสบปวดร้อนจะลดลง
2. ปิดแผลด้วยผ้าก๊อซหรือผ้าแห้งสะอาด
3. ถ้ายังมีอาการปวดแสบปวดร้อนหรืออาการเป็นมากขึ้น ผิวหนังมีรอยถลอก มีตุ่มพองใส หรือมีสีของผิวหนังเปลี่ยนไป ให้รีบนำส่งโรงพยาบาล
4. ห้ามใส่ตัวยาหรือครีมใดๆ ทาลงบนบาดแผลถ้ายังไม่แน่ใจในสรรพคุณที่ถูกต้องของยาชนิดนั้น และห้ามใช้ยาสีฟัน น้ำปลา เครื่องปรุง หรือยาหม่องทา เพราะอาจติดเชื้อและรักษายากขึ้น
5. ถ้าไฟไหม้ น้ำร้อนลวกบริเวณใบหน้า จะต้องได้รับการรักษาจากแพทย์โดยเร็วที่สุด เพราะบริเวณใบหน้ามักจะเกิดอาการระคายเคืองจากยาที่ใช้ ห้ามใส่ยาใดๆ ก่อนถึงมือแพทย์ เพราะผู้ป่วยแต่ละคนมีอาการตอบสนองต่อตัวยาไม่เหมือนกัน จะต้องขึ้นกับดุลยพินิจของแพทย์
6. บาดแผลไฟไหม้น้ำร้อนลวกที่เกิดในเด็กและผู้สูงอายุ ถึงแม้จะมีขนาดไม่กว้างมาก แต่ก็อาจมีอันตรายมากกว่าที่พบในคนหนุ่มสาว ดังนั้นแนะนำส่งไปรักษาที่โรงพยาบาลทุกราย",Hospital,critical
Chemical Burn,โดนสารเคมี (ผิวหนัง),"กรดรด, ด่างรด, แสบผิว, กัดผิว, ล้างน้ำ, สารเคมีหกใส่",ให้รีบล้างด้วยน้ำสะอาด โดยให้น้ำไหลผ่านอย่างน้อย 15-30 นาที เพื่อลดความเข้มข้นของสารเคมี และลดการระคายเคือง หากทำได้ให้ถอดเสื้อผ้าและเครื่องประดับที่ปนเปื้อนออกทันที เพื่อป้องกันการแพร่กระจายของสารเคมี หากเกิดแผลไหม้ หรือพุพองห้ามเจาะหรือแกะผิวหนัง ให้ใช้ผ้าก๊อซสะอาดปิดไว้ เพื่อป้องกันการติดเชื้อ กรณีอาการรุนแรง เช่น ผิวหนังลอก หรือเจ็บปวดมากควรรีบไปพบแพทย์,Hospital,critical
Sunburn,ผิวไหม้แดด,"แสบตัว, ผิวแดง, ตากแดดนาน, ลอก","1. อาบหรือแช่น้ำเย็น ระบายความร้อน
2. ทามอยเจอร์ไรเซอร์ ช่วยบรรเทาอาการแห้งและสูญเสียน้ำ ควรทาทันทีหลังอาบน้ำเสร็จขณะที่ตัวหมาดๆ
3. ทาคอร์ติโคสเตียรอยด์ครีม ที่มีฤทธิ์อ่อนๆ เช่น 2% Hydrocortisone cream ระวังการใช้ครีมที่แรงเกินไป โดยไม่ได้รับการดูแลจากแพทย์โดยตรง
4. ทาว่านหางจระเข้ (Aloe) ช่วยเรื่องความชุ่มชื้น และลดการอักเสบได้
5. ถ้ามีอาการบวม ปวด แดง ร้อน ให้รับประทานยากลุ่ม Ibuprofen ได้ แต่ต้องรับประทานหลังอาหารทันที และระวังในผู้มีโรคกระเพาะหรือแพ้ยากลุ่ม NSAIDs
6. ดื่มน้ำเยอะๆ เพราะผิวไหม้แดด ทำให้ร่างกายเสียน้ำไปมาก
7. ถ้าผิวขึ้นตุ่มน้ำ (second degree sunburn) ห้ามเจาะ ห้ามแกะ และควรพบแพทย์ผิวหนัง รวมถึงหากมีอาการปวดศีรษะ มีไข้ หนาวสั่น ควรรีบพบแพทย์ทันที
8. หลีกเลี่ยงแสงแดด อย่าโดนซ้ำอีก เพราะแสงแดดเป็นสาเหตุทำให้เกิดมะเร็งผิวหนังได้",Clinic,mild
Swallowed Poison,กินสารพิษ,"กินยาล้างห้องน้ำ, กินยาเบื่อ, ปวดท้อง, อาเจียน","1. ทำให้สารพิษเจือจาง  ในกรณีรู้สึกตัวและไม่มีอาการชัก  โดยการดื่มน้ำชาซึ่งหาได้ง่าย แต่ถ้าได้นมจะดีกกว่า เพราะว่าจะช่วยเจือจางสารพิษแล้ว ยังช่วยเคลือบและป้องกันอันตรายต่อเยื่อบุทางเดินอาหาร
2. นำส่งโรงพยาบาล  เพื่อทำการล้างท้องเอาสารพิษออกจากกระเพาะอาหาร
3. ทำให้ผู้ป่วยอาเจียน  เพื่อเอาสารพิษออกจากกระเพาะอาหาร ในกรณีที่ต้องใช้เวลานานในการนำส่งผู้ป่วย  เช่น  ใช้นิ้วล้วงคอ ใช้ไม้พันสำลีกวาดคอซึ่งจะเป็นการกระตุ้นให้ รู้สึกอยากขย้อน อยากอาเจียน
ข้อห้ามในการทำให้ ผู้ป่วยอาเจียน
1. หมดสติ
2. ได้รับสารพิษชนิดกัดเนื้อ เช่น กรด ด่าง
3. รับประทานสารพิษพวก น้ำมันปิโตรเลียม เช่น น้ำมันก๊าด เบนซิน
4. มีสุขภาพไม่ดี  เช่น โรคหัวใจ",Hospital,critical
Chemical Ingestion,กินน้ำยาล้างห้องน้ำ,"กินเป็ด, กินกรด, แสบปาก, ห้ามทำให้อ้วก","1. ทำให้สารพิษเจือจาง  ในกรณีรู้สึกตัวและไม่มีอาการชัก  โดยการดื่มน้ำชาซึ่งหาได้ง่าย แต่ถ้าได้นมจะดีกกว่า เพราะว่าจะช่วยเจือจางสารพิษแล้ว ยังช่วยเคลือบและป้องกันอันตรายต่อเยื่อบุทางเดินอาหาร
2. นำส่งโรงพยาบาล  เพื่อทำการล้างท้องเอาสารพิษออกจากกระเพาะอาหาร
3. ทำให้ผู้ป่วยอาเจียน  เพื่อเอาสารพิษออกจากกระเพาะอาหาร ในกรณีที่ต้องใช้เวลานานในการนำส่งผู้ป่วย  เช่น  ใช้นิ้วล้วงคอ ใช้ไม้พันสำลีกวาดคอซึ่งจะเป็นการกระตุ้นให้ รู้สึกอยากขย้อน อยากอาเจียน
ข้อห้ามในการทำให้ ผู้ป่วยอาเจียน
1. หมดสติ
2. ได้รับสารพิษชนิดกัดเนื้อ เช่น กรด ด่าง
3. รับประทานสารพิษพวก น้ำมันปิโตรเลียม เช่น น้ำมันก๊าด เบนซิน
4. มีสุขภาพไม่ดี  เช่น โรคหัวใจ",Hospital,critical
Drug Overdose,กินยาเกินขนาด,"กินยาฆ่าตัวตาย, กินยาเยอะ, หมดสติ, น้ำลายฟูมปาก","1. หากผู้ป่วยหมดสติแต่ยังหายใจอยู่ ให้ค่อยๆ วางผู้ป่วยนอนตะแคงในท่าพักฟื้น ตรวจสอบให้แน่ใจว่าทางเดินหายใจยังเปิดอยู่โดยการเอียงศีรษะไปด้านหลังและยกคางขึ้น (วิธีนี้จะช่วยให้ผู้ป่วยหายใจได้สะดวกขึ้นและป้องกันการสำลักหากอาเจียน)
2. ตรวจสอบการหายใจและเฝ้าสังเกตอาการจนกว่าความช่วยเหลือจะมาถึง
3. อย่าพยายามทำให้คนนั้นอาเจียน
4. อย่าให้พวกเขากินหรือดื่มอะไรเลย
5. เก็บกล่องใส่ยาไว้ด้วยเพื่อนำไปโรงพยาบาล",Hospital,critical
Inhaled Poison,สูดดมก๊าซพิษ,"เหม็นแก๊ส, มึนหัว, ในรถ, รมควัน, หายใจไม่ออก",หากได้รับสารพิษจากการหายใจ ให้ออกจากพื้นที่นั้น แล้วประเมินการหายใจว่ามีอาการแสบปาก คอ หรือจมูกร่วมด้วยหรือไม่ ถ้ามีให้ไปโรงพยาบาลทันที,Hospital,critical
